discipline	Toutes les disciplines
discipline:1069:1787:1823	Education à l'EDD	https://w3id.org/kim/hochschulfaechersystematik/n458
discipline:1069:1787:1829	Ethique et responsabilité environnementale	https://w3id.org/kim/hochschulfaechersystematik/n458
discipline:1069:1793	Agro-alimentaire	https://w3id.org/kim/hochschulfaechersystematik/n097
discipline:1069:1793:1795	Aliments et activités agroalimentaires associées	https://w3id.org/kim/hochschulfaechersystematik/n097
discipline:1069:1793:1835	Hygiène et sécurité alimentaire	https://w3id.org/kim/hochschulfaechersystematik/n097
discipline:1069:1793:1847	Techniques agroalimentaires	https://w3id.org/kim/hochschulfaechersystematik/n097
discipline:1069:1797	Evaluation et gestion des risques	https://w3id.org/kim/hochschulfaechersystematik/n458
discipline:1069:1797:1799	Catastrophes naturelles	https://w3id.org/kim/hochschulfaechersystematik/n458
discipline:1069:1797:1825	Environnement et santé	https://w3id.org/kim/hochschulfaechersystematik/n458
discipline:1069:1797:1843	Pollution, catastrophe écologiques	https://w3id.org/kim/hochschulfaechersystematik/n458
discipline:1069:1801	Changement global	https://w3id.org/kim/hochschulfaechersystematik/n385
discipline:1069:1801:1803	Dégradation des milieux naturels	https://w3id.org/kim/hochschulfaechersystematik/n385
discipline:1069:1801:1827	Erosion de la biodiversité	https://w3id.org/kim/hochschulfaechersystematik/n385
discipline:1069:1801:1837	Impacts de l'homme sur l'environnement (démographie, économie, commerce)	https://w3id.org/kim/hochschulfaechersystematik/n385
discipline:1069:1801:1841	Introduction d'espèces et invasions biologiques	https://w3id.org/kim/hochschulfaechersystematik/n385
discipline:1069:1807	Droit et économie de l'environnement	https://w3id.org/kim/hochschulfaechersystematik/n458
discipline:1233	Economie et Gestion	https://w3id.org/kim/hochschulfaechersystematik/n30
discipline:1233:1203	Comptabilité et gestion	hhttps://w3id.org/kim/hochschulfaechersystematik/n021
discipline:1233:1203:1205	Analyse financière	https://w3id.org/kim/hochschulfaechersystematik/n021
discipline:1233:1203:1211	Audit	https://w3id.org/kim/hochschulfaechersystematik/n021
discipline:1233:1203:1231	Comptabilité des opérations financières	https://w3id.org/kim/hochschulfaechersystematik/n021
discipline:1233:1203:1235	Comptabilité générale	https://w3id.org/kim/hochschulfaechersystematik/n021
discipline:1233:1203:1237	Comptabilité privée	https://w3id.org/kim/hochschulfaechersystematik/n021
discipline:1233:1203:1239	Concentrations et clusters d'entreprise	https://w3id.org/kim/hochschulfaechersystematik/n021
discipline:1233:1203:1245	Contrôle de gestion	https://w3id.org/kim/hochschulfaechersystematik/n021
discipline:1233:1203:1281	Etats financiers	https://w3id.org/kim/hochschulfaechersystematik/n021
discipline:1233:1203:1283	Finances publiques	https://w3id.org/kim/hochschulfaechersystematik/n021
discipline:1233:1203:1285	Fiscalité	https://w3id.org/kim/hochschulfaechersystematik/n021
discipline:1233:1203:1297	Gestion financière	https://w3id.org/kim/hochschulfaechersystematik/n021
discipline:1233:1203:1323	Organisation des entreprises, entrepreneuriat	https://w3id.org/kim/hochschulfaechersystematik/n021
discipline:1233:1203:1347	Théorie des organisations	https://w3id.org/kim/hochschulfaechersystematik/n021
discipline:1233:1207	Management et ressources humaines	https://w3id.org/kim/hochschulfaechersystematik/n021
discipline:1233:1207:1209	Animation des équipes	https://w3id.org/kim/hochschulfaechersystematik/n021
discipline:1233:1207:1241	Conditions de travail	https://w3id.org/kim/hochschulfaechersystematik/n021
discipline:1233:1207:1287	Gestion de l'information et informatique	https://w3id.org/kim/hochschulfaechersystematik/n021
discipline:1233:1207:1291	Gestion de la qualité	https://w3id.org/kim/hochschulfaechersystematik/n021
discipline:1233:1207:1295	Gestion du personnel	https://w3id.org/kim/hochschulfaechersystematik/n021
discipline:1233:1207:1305	Management public	https://w3id.org/kim/hochschulfaechersystematik/n021
discipline:1233:1207:1307	Marketing	https://w3id.org/kim/hochschulfaechersystematik/n021
discipline:1233:1207:1319	Négociation, gestion des conflits	https://w3id.org/kim/hochschulfaechersystematik/n021
discipline:1233:1207:1327	Prise de décision	https://w3id.org/kim/hochschulfaechersystematik/n021
discipline:1233:1207:1333	Recrutement et emploi	https://w3id.org/kim/hochschulfaechersystematik/n021
discipline:1233:1207:1335	Relation professionnelles	https://w3id.org/kim/hochschulfaechersystematik/n021
discipline:1233:1213	Economie financière	https://w3id.org/kim/hochschulfaechersystematik/n175
discipline:1233:1213:1215	Banques	https://w3id.org/kim/hochschulfaechersystematik/n175
discipline:1233:1213:1249	Crédit	https://w3id.org/kim/hochschulfaechersystematik/n175
discipline:1233:1213:1301	Investissements et marchés financiers	https://w3id.org/kim/hochschulfaechersystematik/n175
discipline:1233:1213:1317	Monnaie	https://w3id.org/kim/hochschulfaechersystematik/n175
discipline:1233:1217	Méthodes en économie	https://w3id.org/kim/hochschulfaechersystematik/n184
discipline:1233:1217:1219	Calcul économique	https://w3id.org/kim/hochschulfaechersystematik/n184
discipline:1233:1217:1277	Enquêtes et sondages	https://w3id.org/kim/hochschulfaechersystematik/n184
discipline:1233:1217:1309	Méthodes mathématiques	https://w3id.org/kim/hochschulfaechersystematik/n184
discipline:1233:1217:1311	Méthodes statistiques	https://w3id.org/kim/hochschulfaechersystematik/n184
discipline:1233:1217:1313	Modélisation économique	https://w3id.org/kim/hochschulfaechersystematik/n184
discipline:1233:1217:1345	Théorie des jeux	https://w3id.org/kim/hochschulfaechersystematik/n184
discipline:1233:1221	Micro et macroéconomie	https://w3id.org/kim/hochschulfaechersystematik/n184
discipline:1233:1221:1223	Calcul et répartition du revenu et de la richesse	https://w3id.org/kim/hochschulfaechersystematik/n184
discipline:1233:1221:1225	Commerce	https://w3id.org/kim/hochschulfaechersystematik/n184
discipline:1233:1221:1243	Consommation, épargne, pouvoir d'achat	https://w3id.org/kim/hochschulfaechersystematik/n184
discipline:1233:1221:1251	Croissance économique	https://w3id.org/kim/hochschulfaechersystematik/n184
discipline:1233:1221:1269	Economie de l'innovation	https://w3id.org/kim/hochschulfaechersystematik/n184
discipline:1233:1221:1279	Entreprises	https://w3id.org/kim/hochschulfaechersystematik/n184
discipline:1233:1221:1337	Secteur primaire	https://w3id.org/kim/hochschulfaechersystematik/n184
discipline:1233:1221:1339	Secteur secondaire et services	https://w3id.org/kim/hochschulfaechersystematik/n184
discipline:1233:1221:1349	Théories et politiques macroéconomiques	https://w3id.org/kim/hochschulfaechersystematik/n184
discipline:1233:1221:1351	Théories microéconomiques	https://w3id.org/kim/hochschulfaechersystematik/n184
discipline:1233:1227	Economie internationale	https://w3id.org/kim/hochschulfaechersystematik/n182
discipline:1233:1227:1229	Commerce international	https://w3id.org/kim/hochschulfaechersystematik/n182
discipline:1233:1227:1247	Coopération économique	https://w3id.org/kim/hochschulfaechersystematik/n182
discipline:1233:1227:1315	Mondialisation	https://w3id.org/kim/hochschulfaechersystematik/n182
discipline:1233:1227:1325	Politiques économiques étrangères	https://w3id.org/kim/hochschulfaechersystematik/n182
discipline:1233:1227:1353	Union européenne	https://w3id.org/kim/hochschulfaechersystematik/n167
discipline:1233:1265	Sociologie et comportements économiques	https://w3id.org/kim/hochschulfaechersystematik/n184
discipline:1233:1265:1267	Economie comportementale	https://w3id.org/kim/hochschulfaechersystematik/n184
discipline:1233:1265:1341	Sociologie et démographie économiques	https://w3id.org/kim/hochschulfaechersystematik/n184
discipline:1233:1271	Economie du travail	https://w3id.org/kim/hochschulfaechersystematik/n011
discipline:1233:1273	Economie générale	https://w3id.org/kim/hochschulfaechersystematik/n011
discipline:1233:1273:1299	Histoire et conjoncture économiques	https://w3id.org/kim/hochschulfaechersystematik/n011
discipline:1233:1273:1343	Systèmes et théories	https://w3id.org/kim/hochschulfaechersystematik/n011
discipline:1233:1275	Economie sociale	https://w3id.org/kim/hochschulfaechersystematik/n184
discipline:1233:1289	Gestion de la production	https://w3id.org/kim/hochschulfaechersystematik/n184
discipline:1233:1289:1293	Gestion des bâtiments	https://w3id.org/kim/hochschulfaechersystematik/n184
discipline:1233:1289:1303	Logistique	https://w3id.org/kim/hochschulfaechersystematik/n184
discipline:1233:1289:1321	Organisation de la production	https://w3id.org/kim/hochschulfaechersystematik/n184
discipline:1233:1289:1331	Recherche et développement	https://w3id.org/kim/hochschulfaechersystematik/n184
discipline:1261	Sciences juridiques et politiques	https://w3id.org/kim/hochschulfaechersystematik/n3
discipline:1261:1253	Droit privé	https://w3id.org/kim/hochschulfaechersystematik/n135
discipline:1261:1253:1255	Droit de la propriété intellectuelle	https://w3id.org/kim/hochschulfaechersystematik/n135
discipline:1261:1253:1257	Droit des sociétés	https://w3id.org/kim/hochschulfaechersystematik/n135
discipline:1261:1253:1259	Droit du travail	https://w3id.org/kim/hochschulfaechersystematik/n042
discipline:1261:1253:1405	Droit de la santé	https://w3id.org/kim/hochschulfaechersystematik/n135
